sex	age	l	m	s
1	193	-1.3403	20.5521	0.12591
1	194	-1.3277	20.6085	0.12603
1	195	-1.3149	20.6644	0.12615
1	196	-1.3021	20.7197	0.12627
1	197	-1.2892	20.7745	0.12638
1	198	-1.2762	20.8287	0.12650
1	199	-1.2631	20.8824	0.12661
1	200	-1.2499	20.9355	0.12672
1	201	-1.2366	20.9881	0.12683
1	202	-1.2233	21.0400	0.12694
1	203	-1.2098	21.0914	0.12704
1	204	-1.1962	21.1423	0.12715
1	205	-1.1826	21.1925	0.12726
1	206	-1.1688	21.2423	0.12736
1	207	-1.1550	21.2914	0.12746
1	208	-1.1410	21.3400	0.12756
1	209	-1.1270	21.3880	0.12767
1	210	-1.1129	21.4354	0.12777
1	211	-1.0986	21.4822	0.12787
1	212	-1.0843	21.5285	0.12797
1	213	-1.0699	21.5742	0.12807
1	214	-1.0553	21.6193	0.12816
1	215	-1.0407	21.6638	0.12826
1	216	-1.0260	21.7077	0.12836
1	217	-1.0112	21.7510	0.12845
1	218	-0.9962	21.7937	0.12855
1	219	-0.9812	21.8358	0.12864
1	220	-0.9661	21.8773	0.12874
1	221	-0.9509	21.9182	0.12883
1	222	-0.9356	21.9585	0.12893
1	223	-0.9202	21.9982	0.12902
1	224	-0.9048	22.0374	0.12911
1	225	-0.8892	22.0760	0.12920
1	226	-0.8735	22.1140	0.12930
1	227	-0.8578	22.1514	0.12939
1	228	-0.8419	22.1883	0.12948
1	229	-0.8419	22.1883	0.12948
2	61	-0.8886	15.2441	0.09692
2	62	-0.9068	15.2434	0.09738
2	63	-0.9248	15.2433	0.09783
2	64	-0.9427	15.2438	0.09829
2	65	-0.9605	15.2448	0.09875
2	66	-0.9780	15.2464	0.09920
2	67	-0.9954	15.2487	0.09966
2	68	-1.0126	15.2516	0.10012
2	69	-1.0296	15.2551	0.10058
2	70	-1.0464	15.2592	0.10104
2	71	-1.0630	15.2641	0.10149
2	72	-1.0794	15.2697	0.10195
2	73	-1.0956	15.2760	0.10241
2	74	-1.1115	15.2831	0.10287
2	75	-1.1272	15.2911	0.10333
2	76	-1.1427	15.2998	0.10379
2	77	-1.1579	15.3095	0.10425
2	78	-1.1728	15.3200	0.10471
2	79	-1.1875	15.3314	0.10517
2	80	-1.2019	15.3439	0.10562
2	81	-1.2160	15.3572	0.10608
2	82	-1.2298	15.3717	0.10654
2	83	-1.2433	15.3871	0.10700
2	84	-1.2565	15.4036	0.10746
2	85	-1.2693	15.4211	0.10792
2	86	-1.2819	15.4397	0.10837
2	87	-1.2941	15.4593	0.10883
2	88	-1.3060	15.4798	0.10929
2	89	-1.3175	15.5014	0.10974
2	90	-1.3287	15.5240	0.11020
2	91	-1.3395	15.5476	0.11065
2	92	-1.3499	15.5723	0.11110
2	93	-1.3600	15.5979	0.11156
2	94	-1.3697	15.6246	0.11201
2	95	-1.3790	15.6523	0.11246
2	96	-1.3880	15.6810	0.11291
2	97	-1.3966	15.7107	0.11335
2	98	-1.4047	15.7415	0.11380
2	99	-1.4125	15.7732	0.11424
2	100	-1.4199	15.8058	0.11469
2	101	-1.4270	15.8394	0.11513
2	102	-1.4336	15.8738	0.11557
2	103	-1.4398	15.9090	0.11601
2	104	-1.4456	15.9451	0.11644
2	105	-1.4511	15.9818	0.11688
2	106	-1.4561	16.0194	0.11731
2	107	-1.4607	16.0575	0.11774
2	108	-1.4650	16.0964	0.11816
2	109	-1.4688	16.1358	0.11859
2	110	-1.4723	16.1759	0.11901
2	111	-1.4753	16.2166	0.11943
2	112	-1.4780	16.2580	0.11985
2	113	-1.4803	16.2999	0.12026
2	114	-1.4823	16.3425	0.12067
2	115	-1.4838	16.3858	0.12108
2	116	-1.4850	16.4298	0.12148
2	117	-1.4859	16.4746	0.12188
2	118	-1.4864	16.5200	0.12228
2	119	-1.4866	16.5663	0.12268
2	120	-1.4864	16.6133	0.12307
2	121	-1.4859	16.6612	0.12346
2	122	-1.4851	16.7100	0.12384
2	123	-1.4839	16.7595	0.12422
2	124	-1.4825	16.8100	0.12460
2	125	-1.4807	16.8614	0.12497
2	126	-1.4787	16.9136	0.12534
2	127	-1.4763	16.9667	0.12571
2	128	-1.4737	17.0208	0.12607
2	129	-1.4708	17.0757	0.12643
2	130	-1.4677	17.1316	0.12678
2	131	-1.4642	17.1883	0.12713
2	132	-1.4606	17.2459	0.12748
2	133	-1.4567	17.3044	0.12782
2	134	-1.4526	17.3637	0.12816
2	135	-1.4482	17.4238	0.12849
2	136	-1.4436	17.4847	0.12882
2	137	-1.4389	17.5464	0.12914
2	138	-1.4339	17.6088	0.12946
2	139	-1.4288	17.6719	0.12978
2	140	-1.4235	17.7357	0.13009
2	141	-1.4180	17.8001	0.13040
2	142	-1.4123	17.8651	0.13070
2	143	-1.4065	17.9306	0.13099
2	144	-1.4006	17.9966	0.13129
2	145	-1.3945	18.0630	0.13158
2	146	-1.3883	18.1297	0.13186
2	147	-1.3819	18.1967	0.13214
2	148	-1.3755	18.2639	0.13241
2	149	-1.3689	18.3312	0.13268
2	150	-1.3621	18.3986	0.13295
2	151	-1.3553	18.4660	0.13321
2	152	-1.3483	18.5333	0.13347
2	153	-1.3413	18.6006	0.13372
2	154	-1.3341	18.6677	0.13397
2	155	-1.3269	18.7346	0.13421
2	156	-1.3195	18.8012	0.13445
2	157	-1.3121	18.8675	0.13469
2	158	-1.3046	18.9335	0.13492
2	159	-1.2970	18.9991	0.13514
2	160	-1.2894	19.0642	0.13537
2	161	-1.2816	19.1289	0.13559
2	162	-1.2739	19.1931	0.13580
2	163	-1.2661	19.2567	0.13601
2	164	-1.2583	19.3197	0.13622
2	165	-1.2504	19.3820	0.13642
2	166	-1.2425	19.4437	0.13662
2	167	-1.2345	19.5045	0.13681
2	168	-1.2266	19.5647	0.13700
2	169	-1.2186	19.6240	0.13719
2	170	-1.2107	19.6824	0.13738
2	171	-1.2027	19.7400	0.13756
2	172	-1.1947	19.7966	0.13774
2	173	-1.1867	19.8523	0.13791
2	174	-1.1788	19.9070	0.13808
2	175	-1.1708	19.9607	0.13825
2	176	-1.1629	20.0133	0.13841
2	177	-1.1549	20.0648	0.13858
2	178	-1.1470	20.1152	0.13873
2	179	-1.1390	20.1644	0.13889
2	180	-1.1311	20.2125	0.13904
2	181	-1.1232	20.2595	0.13920
2	182	-1.1153	20.3053	0.13934
2	183	-1.1074	20.3499	0.13949
2	184	-1.0996	20.3934	0.13963
2	185	-1.0917	20.4357	0.13977
2	186	-1.0838	20.4769	0.13991
2	187	-1.0760	20.5170	0.14005
2	188	-1.0681	20.5560	0.14018
2	189	-1.0603	20.5938	0.14031
2	190	-1.0525	20.6306	0.14044
2	191	-1.0447	20.6663	0.14057
2	192	-1.0368	20.7008	0.14070
2	193	-1.0290	20.7344	0.14082
2	194	-1.0212	20.7668	0.14094
2	195	-1.0134	20.7982	0.14106
2	196	-1.0055	20.8286	0.14118
2	197	-0.9977	20.8580	0.14130
2	198	-0.9898	20.8863	0.14142
2	199	-0.9819	20.9137	0.14153
2	200	-0.9740	20.9401	0.14164
2	201	-0.9661	20.9656	0.14176
2	202	-0.9582	20.9901	0.14187
2	203	-0.9503	21.0138	0.14198
2	204	-0.9423	21.0367	0.14208
2	205	-0.9344	21.0587	0.14219
2	206	-0.9264	21.0801	0.14230
2	207	-0.9184	21.1007	0.14240
2	208	-0.9104	21.1206	0.14250
2	209	-0.9024	21.1399	0.14261
2	210	-0.8944	21.1586	0.14271
2	211	-0.8863	21.1768	0.14281
2	212	-0.8783	21.1944	0.14291
2	213	-0.8703	21.2116	0.14301
2	214	-0.8623	21.2282	0.14311
2	215	-0.8542	21.2444	0.14320
2	216	-0.8462	21.2603	0.14330
2	217	-0.8382	21.2757	0.14340
2	218	-0.8301	21.2908	0.14349
2	219	-0.8221	21.3055	0.14359
2	220	-0.8140	21.3200	0.14368
2	221	-0.8060	21.3341	0.14377
2	222	-0.7980	21.3480	0.14386
2	223	-0.7899	21.3617	0.14396
2	224	-0.7819	21.3752	0.14405
2	225	-0.7738	21.3884	0.14414
2	226	-0.7658	21.4014	0.14423
2	227	-0.7577	21.4143	0.14432
2	228	-0.7496	21.4269	0.14441
2	229	-0.7496	21.4269	0.14441
