bmi Age (Month)* 	Boys 				 				Girls 							
agem	male_L  	male_M  	male_S  	22SD	 21SD	 Median  	+1SD  	+2SD  	female_L  	female_M  	female_S  	22SD 	21SD 	Median  	+1SD 	 +2SD 
48  	-1.14 	15.32  	0.0767  	13.30 	 14.23  	15.32  	16.60  	18.13  	-1.01 	15.15  	0.0801  	13.06  	14.03  	15.15  	16.47  	18.05 
54  	-1.17 	15.23  	0.0790  	13.18 	 14.12  	15.23  	16.55  	18.14  	-1.03 	15.06  	0.0826  	12.93  	13.92  	15.06  	16.42  	18.05 
60  	-1.19 	15.22  	0.0823  	13.10 	 14.07  	15.22  	16.60  	18.28  	-1.05 	14.99  	0.0854  	12.81  	13.82  	14.99  	16.40  	18.10 
66  	-1.19 	15.27  	0.0866  	13.05 	 14.06  	15.27  	16.73  	18.54  	-1.06 	14.96  	0.0884  	12.72  	13.75  	14.96  	16.42  	18.20 
72  	-1.19 	15.35  	0.0916  	13.00 	 14.07  	15.35  	16.91  	18.87  	-1.06 	14.96  	0.0915  	12.66  	13.71  	14.96  	16.47  	18.34 
78  	-1.17 	15.45  	0.0971  	12.97 	 14.09  	15.45  	17.13  	19.26  	-1.07 	14.97  	0.0949  	12.60  	13.68  	14.97  	16.55  	18.51 
84  	-1.15 	15.59  	0.1027  	12.97 	 14.15  	15.59  	17.40  	19.72  	-1.07 	15.02  	0.0984  	12.56  	13.67  	15.02  	16.66  	18.73 
90  	-1.13 	15.77  	0.1084  	12.99 	 14.24  	15.77  	17.70  	20.22  	-1.07 	15.10  	0.1022  	12.55  	13.70  	15.10  	16.82  	19.01 
96  	-1.11 	15.96  	0.1140  	13.03 	 14.34  	15.96  	18.03  	20.76  	-1.07 	15.21  	0.1062  	12.56  	13.76  	15.21  	17.03  	19.36 
102  	-1.08 	16.18  	0.1192  	13.09 	 14.47  	16.18  	18.39  	21.32  	-1.06 	15.37  	0.1103  	12.61  	13.85  	15.37  	17.29  	19.77 
108  	-1.06 	16.42  	0.1240  	13.18 	 14.62  	16.42  	18.76  	21.90  	-1.06 	15.57  	0.1142  	12.69  	13.98  	15.57  	17.59  	20.23 
114  	-1.03 	16.68  	0.1283  	13.28 	 14.79  	16.68  	19.14  	22.48  	-1.06 	15.82  	0.1180  	12.81  	14.15  	15.82  	17.94  	20.75 
120  	-1.01 	16.96  	0.1321  	13.42 	 14.98  	16.96  	19.54  	23.06  	-1.06 	16.09  	0.1215  	12.97  	14.36  	16.09  	18.33  	21.31 
126  	-0.99 	17.24  	0.1353  	13.57 	 15.19  	17.24  	19.94  	23.62  	-1.06 	16.40  	0.1245  	13.15  	14.59  	16.40  	18.75  	21.90 
132  	-0.97 	17.54  	0.1379  	13.73 	 15.41  	17.54  	20.33  	24.17  	-1.05 	16.74  	0.1270  	13.36  	14.86  	16.74  	19.18  	22.49 
138  	-0.95 	17.83  	0.1401  	13.91 	 15.63  	17.83  	20.72  	24.70  	-1.05 	17.09  	0.1290  	13.60  	15.14  	17.09  	19.63  	23.09 
144  	-0.94 	18.12  	0.1419  	14.09 	 15.86  	18.12  	21.09  	25.20  	-1.05 	17.45  	0.1305  	13.85  	15.44  	17.45  	20.08  	23.67 
150  	-0.93 	18.40  	0.1433  	14.27 	 16.08  	18.40  	21.45  	25.67  	-1.05 	17.80  	0.1317  	14.11  	15.74  	17.80  	20.51  	24.23 
156  	-0.92 	18.67  	0.1443  	14.45 	 16.30  	18.67  	21.80  	26.11  	-1.05 	18.15  	0.1325  	14.37  	16.03  	18.15  	20.93  	24.76 
162  	-0.91 	18.94  	0.1451  	14.64 	 16.52  	18.94  	22.12  	26.52  	-1.05 	18.48  	0.1331  	14.61  	16.31  	18.48  	21.33  	25.24 
168  	-0.90 	19.19  	0.1457  	14.81 	 16.74  	19.19  	22.43  	26.90  	-1.05 	18.78  	0.1334  	14.84  	16.58  	18.78  	21.69  	25.69 
174  	-0.89 	19.43  	0.1461  	14.99 	 16.94  	19.43  	22.73  	27.25  	-1.05 	19.06  	0.1336  	15.06  	16.82  	19.06  	22.01  	26.08 
180  	-0.88 	19.66  	0.1463  	15.16 	 17.14  	19.66  	23.00  	27.58  	-1.05 	19.31  	0.1337  	15.25  	17.04  	19.31  	22.30  	26.42 
186  	-0.87 	19.88  	0.1464  	15.32 	 17.32  	19.88  	23.26  	27.89  	-1.05 	19.53  	0.1337  	15.42  	17.23  	19.53  	22.55  	26.72 
192  	-0.87 	20.09  	0.1465  	15.48 	 17.50  	20.09  	23.50  	28.17  	-1.05 	19.72  	0.1337  	15.58  	17.40  	19.72  	22.77  	26.98 
198  	-0.86 	20.29  	0.1465  	15.63 	 17.68  	20.29  	23.73  	28.44  	-1.05 	19.89  	0.1336  	15.71  	17.55  	19.89  	22.97  	27.21 
204  	-0.85 	20.48  	0.1464  	15.77 	 17.84  	20.48  	23.95  	28.69  	-1.05 	20.04  	0.1335  	15.84  	17.69  	20.04  	23.14  	27.41 
210  	-0.85 	20.67  	0.1464  	15.91 	 18.00  	20.67  	24.16  	28.93  	-1.05 	20.18  	0.1334  	15.95  	17.81  	20.18  	23.30  	27.59 
216  	-0.84 	20.84  	0.1463  	16.04 	 18.16  	20.84  	24.36  	29.16  	-1.05 	20.32  	0.1333  	16.06  	17.93  	20.32  	23.45  	27.77 
